選手名,球団,年度,ポジション,対左打席数または打数,対左安打数,対左打数,対右打席数または打数,対右安打数,対右打数
マーティン,ロッテ,2022,外野手,74,9,66,191,27,155
レアード,ロッテ,2022,内野手,108,15,102,286,54,263
安田 尚憲,ロッテ,2022,内野手,116,29,104,324,73,284
井上 晴哉,ロッテ,2022,内野手,50,10,45,182,39,154
岡 大海,ロッテ,2022,外野手,91,21,77,157,24,130
荻野 貴司,ロッテ,2022,外野手,99,27,88,274,74,238
加藤 匠馬,ロッテ,2022,捕手,2,0,2,8,1,7
角中 勝也,ロッテ,2022,外野手,32,6,30,106,27,99
佐藤 都志也,ロッテ,2022,捕手,120,25,104,281,52,255
三木 亮,ロッテ,2022,内野手,16,2,15,18,2,10
山口 航輝,ロッテ,2022,外野手,104,16,95,245,60,226
山本 大斗,ロッテ,2022,外野手,1,0,1,1,0,1
小川 龍成,ロッテ,2022,内野手,15,1,10,61,5,45
松川 虎生,ロッテ,2022,捕手,53,11,49,159,21,136
菅野 剛士,ロッテ,2022,外野手,13,1,11,80,17,75
西巻 賢二,ロッテ,2022,内野手,,,,1,0,0
池田 来翔,ロッテ,2022,内野手,7,0,7,15,2,15
茶谷 健太,ロッテ,2022,内野手,45,14,40,111,20,97
中村 奨吾,ロッテ,2022,内野手,173,34,148,421,94,350
田村 龍弘,ロッテ,2022,捕手,2,1,2,3,0,3
藤岡 裕大,ロッテ,2022,内野手,26,3,21,55,9,47
藤原 恭大,ロッテ,2022,外野手,35,11,35,91,13,80
福田 光輝,ロッテ,2022,内野手,1,1,1,22,2,18
福田 秀平,ロッテ,2022,外野手,13,2,11,35,5,30
平沢 大河,ロッテ,2022,内野手,6,0,5,26,4,22
和田 康士朗,ロッテ,2022,外野手,4,1,3,28,4,25
髙部 瑛斗,ロッテ,2022,外野手,171,46,155,437,102,387
ウィーラー,巨人,2022,内野手,31,4,28,32,7,28
ポランコ,巨人,2022,外野手,140,32,127,343,73,311
岡本 和真,巨人,2022,内野手,188,45,166,395,86,354
丸 佳浩,巨人,2022,外野手,222,60,191,386,83,335
岸田 行倫,巨人,2022,捕手,17,6,16,21,3,19
喜多 隆介,巨人,2022,捕手,4,1,4,5,0,5
吉川 尚輝,巨人,2022,内野手,208,56,186,359,87,330
香月 一也,巨人,2022,内野手,2,0,1,35,7,34
坂本 勇人,巨人,2022,内野手,132,30,110,217,57,194
山瀬 慎之助,巨人,2022,捕手,6,2,6,5,0,5
若林 晃弘,巨人,2022,内野手,26,6,20,65,10,60
小林 誠司,巨人,2022,捕手,44,6,43,47,7,45
松原 聖弥,巨人,2022,外野手,11,2,9,65,6,62
石川 慎吾,巨人,2022,外野手,25,5,23,6,3,6
増田 大輝,巨人,2022,内野手,8,2,8,14,1,12
増田 陸,巨人,2022,内野手,59,14,52,98,21,89
大城 卓三,巨人,2022,捕手,114,24,102,276,67,244
中山 礼都,巨人,2022,内野手,31,6,29,111,20,102
中田 翔,巨人,2022,内野手,124,22,114,249,69,224
中島 宏之,巨人,2022,内野手,45,14,42,66,10,57
湯浅 大,巨人,2022,内野手,14,1,11,22,2,19
八百板 卓丸,巨人,2022,外野手,7,0,6,41,10,38
北村 拓己,巨人,2022,内野手,29,4,28,26,5,24
廣岡 大志,巨人,2022,内野手,25,6,19,35,3,31
マクブルーム,広島,2022,内野手,162,40,147,344,82,301
マクブルーム,広島,2022,内野手,162,40,147,344,82,301
磯村 嘉孝,広島,2022,捕手,40,9,34,86,18,80
磯村 嘉孝,広島,2022,捕手,40,9,34,86,18,80
宇草 孔基,広島,2022,外野手,22,3,19,76,15,69
宇草 孔基,広島,2022,外野手,22,3,19,76,15,69
羽月 隆太郎,広島,2022,内野手,20,4,19,78,19,75
羽月 隆太郎,広島,2022,内野手,20,4,19,78,19,75
菊池 涼介,広島,2022,内野手,171,43,152,351,78,310
菊池 涼介,広島,2022,内野手,171,43,152,351,78,310
坂倉 将吾,広島,2022,捕手,207,47,186,390,108,353
坂倉 将吾,広島,2022,捕手,207,47,186,390,108,353
三好 匠,広島,2022,内野手,,,,2,0,2
三好 匠,広島,2022,内野手,,,,2,0,2
持丸 泰輝,広島,2022,捕手,,,,6,0,6
持丸 泰輝,広島,2022,捕手,,,,6,0,6
秋山 翔吾,広島,2022,外野手,65,18,59,109,23,96
秋山 翔吾,広島,2022,外野手,65,18,59,109,23,96
小園 海斗,広島,2022,内野手,157,44,145,352,82,328
小園 海斗,広島,2022,内野手,157,44,145,352,82,328
松山 竜平,広島,2022,外野手,37,8,35,128,25,117
松山 竜平,広島,2022,外野手,37,8,35,128,25,117
上本 崇司,広島,2022,内野手,90,28,80,208,52,181
上本 崇司,広島,2022,内野手,90,28,80,208,52,181
西川 龍馬,広島,2022,外野手,143,38,132,278,85,258
西川 龍馬,広島,2022,外野手,143,38,132,278,85,258
石原 貴規,広島,2022,捕手,7,0,6,9,2,7
石原 貴規,広島,2022,捕手,7,0,6,9,2,7
曽根 海成,広島,2022,内野手,3,0,2,4,0,4
曽根 海成,広島,2022,内野手,3,0,2,4,0,4
大盛 穂,広島,2022,外野手,5,1,5,71,13,64
大盛 穂,広島,2022,外野手,5,1,5,71,13,64
中村 健人,広島,2022,外野手,63,14,57,72,15,64
中村 健人,広島,2022,外野手,63,14,57,72,15,64
中村 奨成,広島,2022,捕手,24,6,23,34,5,34
中村 奨成,広島,2022,捕手,24,6,23,34,5,34
長野 久義,広島,2022,外野手,38,5,34,97,21,90
長野 久義,広島,2022,外野手,38,5,34,97,21,90
田中 広輔,広島,2022,内野手,6,2,5,39,6,35
田中 広輔,広島,2022,内野手,6,2,5,39,6,35
堂林 翔太,広島,2022,内野手,85,18,79,190,44,177
堂林 翔太,広島,2022,内野手,85,18,79,190,44,177
韮澤 雄也,広島,2022,内野手,2,0,2,10,1,8
韮澤 雄也,広島,2022,内野手,2,0,2,10,1,8
白濱 裕太,広島,2022,捕手,3,0,2,3,0,2
白濱 裕太,広島,2022,捕手,3,0,2,3,0,2
末包 昇大,広島,2022,外野手,29,9,27,51,14,50
末包 昇大,広島,2022,外野手,29,9,27,51,14,50
野間 峻祥,広島,2022,外野手,109,26,98,230,73,220
野間 峻祥,広島,2022,外野手,109,26,98,230,73,220
矢野 雅哉,広島,2022,内野手,21,1,16,57,12,51
矢野 雅哉,広島,2022,内野手,21,1,16,57,12,51
會澤 翼,広島,2022,捕手,96,22,86,229,38,204
會澤 翼,広島,2022,捕手,96,22,86,229,38,204
マルテ,阪神,2022,内野手,34,8,31,68,15,59
ロドリゲス,阪神,2022,内野手,26,2,25,44,8,40
ロハス・ジュニア,阪神,2022,外野手,54,12,48,156,29,135
井上 広大,阪神,2022,外野手,3,0,3,2,0,2
近本 光司,阪神,2022,外野手,210,50,195,370,104,330
熊谷 敬宥,阪神,2022,内野手,25,4,23,27,3,22
原口 文仁,阪神,2022,内野手,19,3,17,64,20,54
江越 大賀,阪神,2022,外野手,4,0,3,1,0,1
佐藤 輝明,阪神,2022,内野手,228,48,202,371,95,339
坂本 誠志郎,阪神,2022,捕手,52,7,44,98,17,83
山本 泰寛,阪神,2022,内野手,119,29,108,84,16,73
糸井 嘉男,阪神,2022,外野手,35,5,30,145,32,133
糸原 健斗,阪神,2022,内野手,150,31,130,344,79,315
小幡 竜平,阪神,2022,内野手,6,3,5,67,10,64
小野寺 暖,阪神,2022,外野手,30,4,29,15,2,15
植田 海,阪神,2022,内野手,8,1,7,6,2,5
大山 悠輔,阪神,2022,内野手,160,37,138,346,80,301
中野 拓夢,阪神,2022,内野手,197,47,188,413,110,381
長坂 拳弥,阪神,2022,捕手,14,2,11,32,5,29
島田 海吏,阪神,2022,外野手,112,24,102,227,58,209
梅野 隆太郎,阪神,2022,捕手,93,17,87,234,50,207
板山 祐太郎,阪神,2022,外野手,,,,9,1,8
豊田 寛,阪神,2022,外野手,6,0,4,3,0,3
北條 史也,阪神,2022,内野手,33,6,30,15,2,13
木浪 聖也,阪神,2022,内野手,25,3,23,76,16,70
陽川 尚将,阪神,2022,内野手,49,15,42,26,5,26
榮枝 裕貴,阪神,2022,捕手,,,,1,1,1
髙山 俊,阪神,2022,外野手,1,0,1,55,10,52
髙寺 望夢,阪神,2022,内野手,3,0,3,24,3,20
オグレディ,西武,2022,外野手,128,23,118,337,63,286
ジャンセン・ウィティ,西武,2022,内野手,41,10,39,87,13,81
愛斗,西武,2022,外野手,87,22,85,306,67,281
外崎 修汰,西武,2022,内野手,134,36,114,413,67,364
岸 潤一郎,西武,2022,外野手,12,1,11,71,14,62
金子 侑司,西武,2022,外野手,21,4,20,107,29,99
熊代 聖人,西武,2022,外野手,1,0,1,13,2,9
栗山 巧,西武,2022,外野手,47,12,43,219,51,196
源田 壮亮,西武,2022,内野手,126,29,113,330,81,301
古賀 悠斗,西武,2022,捕手,15,1,14,56,8,44
戸川 大輔,西武,2022,外野手,2,0,2,5,0,4
呉 念庭,西武,2022,内野手,72,13,65,229,46,195
高木 渉,西武,2022,外野手,17,2,13,27,2,23
山川 穂高,西武,2022,内野手,119,27,104,397,92,344
山田 遥楓,西武,2022,内野手,25,1,21,68,15,59
山野辺 翔,西武,2022,内野手,6,0,5,29,5,28
若林 楽人,西武,2022,外野手,12,3,11,83,15,76
森 友哉,西武,2022,捕手,105,22,96,308,70,271
西川 愛也,西武,2022,外野手,6,0,6,24,0,24
川越 誠司,西武,2022,外野手,40,9,35,118,27,104
川野 涼多,西武,2022,内野手,5,1,5,3,0,2
滝澤 夏央,西武,2022,内野手,11,3,10,80,16,75
中熊 大智,西武,2022,捕手,,,,1,0,1
中山 誠吾,西武,2022,内野手,,,,3,0,3
中村 剛也,西武,2022,内野手,74,15,65,220,39,211
長谷川 信哉,西武,2022,内野手,27,7,26,41,5,39
柘植 世那,西武,2022,捕手,22,5,22,96,13,82
平沼 翔太,西武,2022,内野手,18,2,15,70,17,58
牧野 翔矢,西武,2022,捕手,9,2,9,23,2,20
鈴木 将平,西武,2022,外野手,51,14,46,176,39,166
A.マルティネス,中日,2022,捕手,53,10,50,232,60,204
ガルシア,中日,2022,外野手,,,,9,1,9
ビシエド,中日,2022,内野手,107,30,97,423,112,386
レビーラ,中日,2022,内野手,15,2,15,51,11,49
ワカマツ,中日,2022,内野手,,,,4,0,3
阿部 寿樹,中日,2022,内野手,116,28,102,432,103,384
伊藤 康祐,中日,2022,外野手,12,3,12,15,3,14
鵜飼 航丞,中日,2022,外野手,53,8,50,142,29,130
岡林 勇希,中日,2022,外野手,169,40,151,438,121,402
加藤 翔平,中日,2022,外野手,10,2,9,21,4,18
京田 陽太,中日,2022,内野手,28,4,26,112,18,102
郡司 裕也,中日,2022,捕手,22,4,18,26,4,24
桂 依央利,中日,2022,捕手,1,0,1,8,2,8
後藤 駿太,中日,2022,外野手,7,1,6,102,16,93
溝脇 隼人,中日,2022,内野手,27,6,25,130,29,114
高橋 周平,中日,2022,内野手,74,19,68,216,47,197
三ツ俣 大樹,中日,2022,内野手,40,9,35,113,17,88
三好 大倫,中日,2022,外野手,9,2,8,52,10,47
山下 斐紹,中日,2022,捕手,5,1,5,19,2,18
石垣 雅海,中日,2022,内野手,23,6,22,51,5,46
石橋 康太,中日,2022,捕手,21,2,19,54,10,48
石川 昂弥,中日,2022,内野手,21,5,20,119,24,109
大島 洋平,中日,2022,外野手,142,40,128,338,97,308
大野 奨太,中日,2022,捕手,3,2,3,18,3,14
滝野 要,中日,2022,外野手,4,0,4,6,3,6
渡辺 勝,中日,2022,外野手,,,,9,2,9
土田 龍空,中日,2022,内野手,57,12,54,169,40,156
堂上 直倫,中日,2022,内野手,1,0,1,17,5,17
福元 悠真,中日,2022,外野手,3,0,3,1,1,1
福田 永将,中日,2022,内野手,8,2,7,21,4,21
福留 孝介,中日,2022,外野手,4,0,3,26,1,21
平田 良介,中日,2022,外野手,23,5,20,60,10,55
木下 拓哉,中日,2022,捕手,97,22,92,366,81,327
髙松 渡,中日,2022,内野手,,,,14,1,14
アルカンタラ,日本ハム,2022,内野手,66,18,63,218,37,200
ヌニエス,日本ハム,2022,内野手,42,5,42,138,24,125
宇佐見 真吾,日本ハム,2022,捕手,67,14,64,170,41,151
宮田 輝星,日本ハム,2022,外野手,1,0,1,6,1,6
郡 拓也,日本ハム,2022,捕手,10,0,9,53,7,47
古川 裕大,日本ハム,2022,捕手,13,5,10,95,17,86
五十幡 亮汰,日本ハム,2022,外野手,7,1,5,9,3,9
今川 優馬,日本ハム,2022,外野手,83,21,73,226,41,202
佐藤 龍世,日本ハム,2022,内野手,19,1,18,87,10,78
細川 凌平,日本ハム,2022,内野手,15,2,14,33,5,27
上川畑 大悟,日本ハム,2022,内野手,70,21,59,231,55,202
上野 響平,日本ハム,2022,内野手,12,1,11,19,1,16
杉谷 拳士,日本ハム,2022,内野手,27,6,26,82,10,71
清宮 幸太郎,日本ハム,2022,内野手,102,18,91,358,71,316
清水 優心,日本ハム,2022,捕手,10,1,9,57,11,53
石川 亮,日本ハム,2022,捕手,18,1,16,34,6,29
中島 卓也,日本ハム,2022,内野手,28,5,21,122,24,109
田宮 裕涼,日本ハム,2022,捕手,1,0,0,20,2,18
梅林 優貴,日本ハム,2022,捕手,13,1,12,38,4,36
片岡 奨人,日本ハム,2022,外野手,5,0,5,19,3,19
万波 中正,日本ハム,2022,外野手,74,11,69,240,49,227
木村 文紀,日本ハム,2022,外野手,32,6,28,69,11,67
淺間 大基,日本ハム,2022,外野手,51,10,47,189,42,177
アンバギー,DeNA,2023,外野手,6,1,6,2,0,2
アンバギー,DeNA,2023,外野手,6,1,6,2,0,2
オースティン,DeNA,2023,外野手,10,3,9,44,10,38
オースティン,DeNA,2023,外野手,10,3,9,44,10,38
ソト,DeNA,2023,内野手,113,31,100,284,52,254
ソト,DeNA,2023,内野手,113,31,100,284,52,254
伊藤 光,DeNA,2023,捕手,67,9,61,110,27,100
伊藤 光,DeNA,2023,捕手,67,9,61,110,27,100
蝦名 達夫,DeNA,2023,外野手,28,5,25,23,1,18
蝦名 達夫,DeNA,2023,外野手,28,5,25,23,1,18
梶原 昂希,DeNA,2023,外野手,11,2,11,43,10,42
梶原 昂希,DeNA,2023,外野手,11,2,11,43,10,42
関根 大気,DeNA,2023,外野手,165,43,151,368,83,332
関根 大気,DeNA,2023,外野手,165,43,151,368,83,332
宮﨑 敏郎,DeNA,2023,内野手,119,38,104,339,95,304
宮﨑 敏郎,DeNA,2023,内野手,119,38,104,339,95,304
京田 陽太,DeNA,2023,内野手,46,4,37,240,53,214
京田 陽太,DeNA,2023,内野手,46,4,37,240,53,214
桑原 将志,DeNA,2023,外野手,146,35,131,333,73,298
桑原 将志,DeNA,2023,外野手,146,35,131,333,73,298
戸柱 恭孝,DeNA,2023,捕手,40,5,36,140,35,129
戸柱 恭孝,DeNA,2023,捕手,40,5,36,140,35,129
佐野 恵太,DeNA,2023,外野手,211,58,197,400,90,363
佐野 恵太,DeNA,2023,外野手,211,58,197,400,90,363
山本 祐大,DeNA,2023,捕手,55,12,51,144,36,122
山本 祐大,DeNA,2023,捕手,55,12,51,144,36,122
柴田 竜拓,DeNA,2023,内野手,14,0,7,52,7,42
柴田 竜拓,DeNA,2023,内野手,14,0,7,52,7,42
森 敬斗,DeNA,2023,内野手,,,,14,2,12
森 敬斗,DeNA,2023,内野手,,,,14,2,12
神里 和毅,DeNA,2023,外野手,15,0,12,38,8,37
神里 和毅,DeNA,2023,外野手,15,0,12,38,8,37
西浦 直亨,DeNA,2023,内野手,12,3,12,9,0,9
西浦 直亨,DeNA,2023,内野手,12,3,12,9,0,9
西巻 賢二,DeNA,2023,内野手,4,0,3,,,
西巻 賢二,DeNA,2023,内野手,4,0,3,,,
大田 泰示,DeNA,2023,外野手,84,22,80,102,16,95
大田 泰示,DeNA,2023,外野手,84,22,80,102,16,95
大和,DeNA,2023,内野手,131,27,123,98,23,90
大和,DeNA,2023,内野手,131,27,123,98,23,90
知野 直人,DeNA,2023,内野手,21,4,16,17,1,14
知野 直人,DeNA,2023,内野手,21,4,16,17,1,14
藤田 一也,DeNA,2023,内野手,1,0,1,23,6,20
藤田 一也,DeNA,2023,内野手,1,0,1,23,6,20
楠本 泰史,DeNA,2023,外野手,27,3,24,149,27,133
楠本 泰史,DeNA,2023,外野手,27,3,24,149,27,133
牧 秀悟,DeNA,2023,内野手,166,49,152,437,115,407
牧 秀悟,DeNA,2023,内野手,166,49,152,437,115,407
林 琢真,DeNA,2023,内野手,32,5,30,122,24,111
林 琢真,DeNA,2023,内野手,32,5,30,122,24,111
T-岡田,オリックス,2023,外野手,6,1,5,36,6,34
ゴンザレス,オリックス,2023,内野手,77,21,74,244,44,225
シュウィンデル,オリックス,2023,内野手,22,4,21,48,9,48
セデーニョ,オリックス,2023,内野手,23,5,21,164,38,155
安達 了一,オリックス,2023,内野手,20,6,19,48,5,41
宜保 翔,オリックス,2023,内野手,16,5,14,146,36,133
紅林 弘太郎,オリックス,2023,内野手,98,21,90,384,101,353
佐野 皓大,オリックス,2023,外野手,22,4,22,16,2,14
山足 達也,オリックス,2023,内野手,15,4,14,12,1,11
若月 健矢,オリックス,2023,捕手,63,18,60,255,55,227
宗 佑磨,オリックス,2023,内野手,103,24,87,375,81,341
小田 裕也,オリックス,2023,外野手,7,1,7,61,17,55
森 友哉,オリックス,2023,捕手,117,29,104,334,84,280
杉本 裕太郎,オリックス,2023,外野手,72,13,62,298,69,277
杉澤 龍,オリックス,2023,外野手,,,,5,1,5
西野 真弘,オリックス,2023,内野手,7,2,7,131,22,115
石川 亮,オリックス,2023,捕手,2,0,2,9,1,9
太田 椋,オリックス,2023,内野手,23,7,22,47,8,38
大城 滉二,オリックス,2023,内野手,23,3,21,28,6,25
大里 昂生,オリックス,2023,内野手,,,,2,0,2
池田 陵真,オリックス,2023,外野手,7,1,6,32,6,28
茶野 篤政,オリックス,2023,外野手,74,20,68,270,54,244
中川 圭太,オリックス,2023,内野手,117,36,107,446,100,399
渡部 遼人,オリックス,2023,外野手,8,0,7,44,7,34
渡邉 大樹,オリックス,2023,外野手,1,0,1,1,0,1
頓宮 裕真,オリックス,2023,捕手,89,35,82,362,88,319
福永 奨,オリックス,2023,捕手,,,,2,0,2
福田 周平,オリックス,2023,外野手,35,7,28,79,11,66
平野 大和,オリックス,2023,外野手,1,0,1,4,1,4
野口 智哉,オリックス,2023,内野手,60,14,54,197,37,172
来田 涼斗,オリックス,2023,外野手,,,,11,0,10
廣岡 大志,オリックス,2023,内野手,46,7,44,87,17,75
デスパイネ,ソフトバンク,2023,外野手,27,2,23,22,1,19
ホーキンス,ソフトバンク,2023,外野手,8,0,8,2,0,1
リチャード,ソフトバンク,2023,内野手,20,1,20,44,6,41
井上 朋也,ソフトバンク,2023,内野手,18,5,15,23,5,23
海野 隆司,ソフトバンク,2023,捕手,,,,2,0,1
吉田 賢吾,ソフトバンク,2023,捕手,,,,1,0,1
近藤 健介,ソフトバンク,2023,外野手,209,54,179,401,95,313
栗原 陵矢,ソフトバンク,2023,外野手,131,27,122,256,57,230
甲斐 拓也,ソフトバンク,2023,捕手,114,17,98,306,57,268
佐藤 直樹,ソフトバンク,2023,外野手,19,4,19,13,1,12
三森 大貴,ソフトバンク,2023,内野手,80,10,75,236,67,221
周東 佑京,ソフトバンク,2023,内野手,65,13,57,203,44,180
上林 誠知,ソフトバンク,2023,外野手,7,1,6,92,16,86
正木 智也,ソフトバンク,2023,外野手,21,1,19,9,0,7
生海,ソフトバンク,2023,外野手,1,0,1,21,4,20
川原田 純平,ソフトバンク,2023,内野手,,,,1,0,1
増田 珠,ソフトバンク,2023,内野手,50,8,43,25,4,23
谷川原 健太,ソフトバンク,2023,捕手,4,1,4,42,9,39
中村 晃,ソフトバンク,2023,外野手,182,39,166,402,101,345
牧原 大成,ソフトバンク,2023,内野手,112,25,101,274,68,258
野村 大樹,ソフトバンク,2023,内野手,51,7,47,32,9,27
野村 勇,ソフトバンク,2023,内野手,51,9,44,44,4,37
柳町 達,ソフトバンク,2023,外野手,73,11,58,302,69,253
柳田 悠岐,ソフトバンク,2023,外野手,221,58,199,403,105,347
嶺井 博希,ソフトバンク,2023,捕手,22,5,19,17,2,15
オスナ,ヤクルト,2023,内野手,195,40,176,345,87,325
サンタナ,ヤクルト,2023,外野手,182,57,168,333,83,299
塩見 泰隆,ヤクルト,2023,外野手,91,29,83,119,27,104
奥村 展征,ヤクルト,2023,内野手,1,0,1,4,2,3
丸山 和郁,ヤクルト,2023,外野手,29,10,27,77,10,70
宮本 丈,ヤクルト,2023,内野手,17,2,13,106,18,77
元山 飛優,ヤクルト,2023,内野手,16,2,16,26,5,23
古賀 優大,ヤクルト,2023,捕手,34,11,29,45,9,39
荒木 貴裕,ヤクルト,2023,内野手,,,,2,0,2
三ツ俣 大樹,ヤクルト,2023,内野手,17,1,11,4,1,3
山崎 晃大朗,ヤクルト,2023,外野手,47,11,43,106,22,94
山田 哲人,ヤクルト,2023,内野手,170,36,157,252,51,219
松本 直樹,ヤクルト,2023,捕手,4,0,4,2,0,2
西村 瑠伊斗,ヤクルト,2023,内野手,1,0,1,,,
西田 明央,ヤクルト,2023,捕手,6,1,6,2,0,2
青木 宣親,ヤクルト,2023,外野手,82,22,68,182,33,149
赤羽 由紘,ヤクルト,2023,内野手,16,3,14,11,1,9
川端 慎吾,ヤクルト,2023,内野手,28,8,26,72,22,68
村上 宗隆,ヤクルト,2023,内野手,241,63,206,354,64,290
太田 賢吾,ヤクルト,2023,内野手,11,3,10,31,5,31
中村 悠平,ヤクルト,2023,捕手,137,33,111,239,37,199
長岡 秀樹,ヤクルト,2023,内野手,186,41,168,297,60,277
内山 壮真,ヤクルト,2023,捕手,96,19,87,173,36,153
武岡 龍世,ヤクルト,2023,内野手,56,7,50,121,28,110
並木 秀尊,ヤクルト,2023,外野手,80,16,74,94,23,87
北村 恵吾,ヤクルト,2023,内野手,12,3,10,11,1,11
澤井 廉,ヤクルト,2023,外野手,4,0,4,33,5,28
濱田 太貴,ヤクルト,2023,外野手,162,33,151,114,26,101
ブロッソー,ロッテ,2023,内野手,46,10,42,101,16,94
ブロッソー,ロッテ,2023,内野手,46,10,42,101,16,94
ポランコ,ロッテ,2023,外野手,135,25,126,360,83,321
ポランコ,ロッテ,2023,外野手,135,25,126,360,83,321
安田 尚憲,ロッテ,2023,内野手,113,19,101,358,80,315
安田 尚憲,ロッテ,2023,内野手,113,19,101,358,80,315
井上 晴哉,ロッテ,2023,内野手,32,8,32,74,9,63
井上 晴哉,ロッテ,2023,内野手,32,8,32,74,9,63
岡 大海,ロッテ,2023,外野手,113,25,93,259,65,226
岡 大海,ロッテ,2023,外野手,113,25,93,259,65,226
荻野 貴司,ロッテ,2023,外野手,55,10,51,147,34,132
荻野 貴司,ロッテ,2023,外野手,55,10,51,147,34,132
柿沼 友哉,ロッテ,2023,捕手,13,3,8,25,0,21
柿沼 友哉,ロッテ,2023,捕手,13,3,8,25,0,21
角中 勝也,ロッテ,2023,外野手,35,6,31,208,58,185
角中 勝也,ロッテ,2023,外野手,35,6,31,208,58,185
江村 直也,ロッテ,2023,捕手,2,0,2,8,0,7
江村 直也,ロッテ,2023,捕手,2,0,2,8,0,7
佐藤 都志也,ロッテ,2023,捕手,67,12,54,211,40,185
佐藤 都志也,ロッテ,2023,捕手,67,12,54,211,40,185
山口 航輝,ロッテ,2023,外野手,120,21,101,348,78,320
山口 航輝,ロッテ,2023,外野手,120,21,101,348,78,320
山本 大斗,ロッテ,2023,外野手,,,,7,1,7
山本 大斗,ロッテ,2023,外野手,,,,7,1,7
小川 龍成,ロッテ,2023,内野手,3,0,2,21,3,18
小川 龍成,ロッテ,2023,内野手,3,0,2,21,3,18
松川 虎生,ロッテ,2023,捕手,7,1,6,11,2,10
松川 虎生,ロッテ,2023,捕手,7,1,6,11,2,10
植田 将太,ロッテ,2023,捕手,,,,3,0,3
植田 将太,ロッテ,2023,捕手,,,,3,0,3
菅野 剛士,ロッテ,2023,外野手,3,0,3,8,1,7
菅野 剛士,ロッテ,2023,外野手,3,0,3,8,1,7
石川 慎吾,ロッテ,2023,外野手,78,28,75,39,11,37
石川 慎吾,ロッテ,2023,外野手,78,28,75,39,11,37
大下 誠一郎,ロッテ,2023,内野手,14,4,12,14,1,10
大下 誠一郎,ロッテ,2023,内野手,14,4,12,14,1,10
池田 来翔,ロッテ,2023,内野手,26,4,23,92,24,81
池田 来翔,ロッテ,2023,内野手,26,4,23,92,24,81
茶谷 健太,ロッテ,2023,内野手,65,21,56,122,27,113
茶谷 健太,ロッテ,2023,内野手,65,21,56,122,27,113
中村 奨吾,ロッテ,2023,内野手,154,31,135,430,81,373
中村 奨吾,ロッテ,2023,内野手,154,31,135,430,81,373
田村 龍弘,ロッテ,2023,捕手,66,11,55,148,19,126
田村 龍弘,ロッテ,2023,捕手,66,11,55,148,19,126
藤岡 裕大,ロッテ,2023,内野手,107,24,88,273,62,222
藤岡 裕大,ロッテ,2023,内野手,107,24,88,273,62,222
藤原 恭大,ロッテ,2023,外野手,84,21,76,277,57,252
藤原 恭大,ロッテ,2023,外野手,84,21,76,277,57,252
福田 秀平,ロッテ,2023,外野手,1,0,1,8,2,7
福田 秀平,ロッテ,2023,外野手,1,0,1,8,2,7
平沢 大河,ロッテ,2023,内野手,53,7,45,117,16,90
平沢 大河,ロッテ,2023,内野手,53,7,45,117,16,90
友杉 篤輝,ロッテ,2023,内野手,62,11,56,147,36,129
友杉 篤輝,ロッテ,2023,内野手,62,11,56,147,36,129
和田 康士朗,ロッテ,2023,外野手,32,9,29,81,17,69
和田 康士朗,ロッテ,2023,外野手,32,9,29,81,17,69
和田 康士朗,ロッテ,2023,外野手,32,9,29,81,17,69
和田 康士朗,ロッテ,2023,外野手,32,9,29,81,17,69
フランコ,楽天,2023,内野手,125,26,111,209,43,201
阿部 寿樹,楽天,2023,内野手,110,24,92,143,31,124
阿部 寿樹,楽天,2023,内野手,110,24,92,143,31,124
安田 悠馬,楽天,2023,捕手,34,9,30,93,15,80
安田 悠馬,楽天,2023,捕手,34,9,30,93,15,80
伊藤 裕季也,楽天,2023,内野手,136,33,120,80,13,68
伊藤 裕季也,楽天,2023,内野手,136,33,120,80,13,68
岡島 豪郎,楽天,2023,外野手,140,35,127,268,61,234
岡島 豪郎,楽天,2023,外野手,140,35,127,268,61,234
銀次,楽天,2023,内野手,2,0,2,8,1,8
銀次,楽天,2023,内野手,2,0,2,8,1,8
黒川 史陽,楽天,2023,内野手,7,0,6,17,2,16
黒川 史陽,楽天,2023,内野手,7,0,6,17,2,16
山﨑 剛,楽天,2023,内野手,119,19,99,187,34,162
山﨑 剛,楽天,2023,内野手,119,19,99,187,34,162
小郷 裕哉,楽天,2023,外野手,167,43,150,274,59,240
小郷 裕哉,楽天,2023,外野手,167,43,150,274,59,240
小深田 大翔,楽天,2023,内野手,213,50,187,336,73,290
小深田 大翔,楽天,2023,内野手,213,50,187,336,73,290
正隨 優弥,楽天,2023,外野手,2,0,1,,,
正隨 優弥,楽天,2023,外野手,2,0,1,,,
西川 遥輝,楽天,2023,外野手,6,0,6,80,13,66
西川 遥輝,楽天,2023,外野手,6,0,6,80,13,66
浅村 栄斗,楽天,2023,内野手,201,55,185,397,88,338
浅村 栄斗,楽天,2023,内野手,201,55,185,397,88,338
村林 一輝,楽天,2023,内野手,125,28,116,215,49,185
村林 一輝,楽天,2023,内野手,125,28,116,215,49,185
太田 光,楽天,2023,捕手,88,21,70,145,21,103
辰己 涼介,楽天,2023,外野手,175,41,154,320,73,280
辰己 涼介,楽天,2023,外野手,175,41,154,320,73,280
炭谷 銀仁朗,楽天,2023,捕手,79,17,74,66,12,57
炭谷 銀仁朗,楽天,2023,捕手,79,17,74,66,12,57
田中 和基,楽天,2023,外野手,26,2,22,15,1,12
