選手名,球団,年度,ポジション,対被左打数,対左被安打,対被右打数,対右被安打
マルテ,中日,2025,投手,47,12,64,9
メヒア,中日,2025,投手,73,18,86,17
伊藤 茉央,中日,2025,投手,20,5,21,4
岡田 俊哉,中日,2025,投手,10,2,22,8
吉田 聖弥,中日,2025,投手,15,4,19,6
橋本 侑樹,中日,2025,投手,72,12,80,26
近藤 廉,中日,2025,投手,30,5,26,4
金丸 夢斗,中日,2025,投手,151,35,208,51
根尾 昂,中日,2025,投手,8,2,15,7
三浦 瑞樹,中日,2025,投手,65,22,66,16
勝野 昌慶,中日,2025,投手,39,12,62,15
松山 晋也,中日,2025,投手,101,21,87,19
松木平 優太,中日,2025,投手,3,2,6,0
松葉 貴大,中日,2025,投手,205,42,336,94
清水 達也,中日,2025,投手,89,29,104,20
祖父江 大輔,中日,2025,投手,27,11,46,18
草加 勝,中日,2025,投手,13,7,6,1
大野 雄大,中日,2025,投手,195,46,241,49
仲地 礼亜,中日,2025,投手,5,2,4,1
藤嶋 健人,中日,2025,投手,90,22,102,26
梅野 雄吾,中日,2025,投手,38,11,56,9
福 敬登,中日,2025,投手,37,9,21,3
福田 幸之介,中日,2025,投手,1,0,2,0
柳 裕也,中日,2025,投手,152,39,147,36
涌井 秀章,中日,2025,投手,115,30,117,33
齋藤 綱記,中日,2025,投手,68,14,43,8
髙橋 宏斗,中日,2025,投手,348,86,272,59
ザバラ,日本ハム,2025,投手,5,1,3,0
バーヘイゲン,日本ハム,2025,投手,43,7,61,21
伊藤 大海,日本ハム,2025,投手,423,106,323,73
加藤 貴之,日本ハム,2025,投手,200,51,260,74
河野 竜生,日本ハム,2025,投手,58,10,36,9
宮西 尚生,日本ハム,2025,投手,46,15,35,8
玉井 大翔,日本ハム,2025,投手,43,8,71,15
金村 尚真,日本ハム,2025,投手,172,43,190,51
古林 睿煬,日本ハム,2025,投手,70,16,54,14
細野 晴希,日本ハム,2025,投手,44,5,74,13
山本 拓実,日本ハム,2025,投手,38,12,58,11
山﨑 福也,日本ハム,2025,投手,177,43,245,62
柴田 獅子,日本ハム,2025,投手,25,7,20,4
松岡 洸希,日本ハム,2025,投手,7,2,13,6
上原 健太,日本ハム,2025,投手,57,10,29,5
杉浦 稔大,日本ハム,2025,投手,26,5,34,9
生田目 翼,日本ハム,2025,投手,50,14,47,6
孫 易磊,日本ハム,2025,投手,27,7,20,5
達 孝太,日本ハム,2025,投手,175,35,220,45
池田 隆英,日本ハム,2025,投手,34,9,48,12
田中 正義,日本ハム,2025,投手,90,17,87,20
畔柳 亨丞,日本ハム,2025,投手,8,1,13,4
福谷 浩司,日本ハム,2025,投手,20,5,38,11
福島 蓮,日本ハム,2025,投手,77,18,84,19
北山 亘基,日本ハム,2025,投手,274,55,265,57
堀 瑞輝,日本ハム,2025,投手,3,1,4,2
柳川 大晟,日本ハム,2025,投手,57,10,65,10
齋藤 友貴哉,日本ハム,2025,投手,75,18,86,13
