Season,Date,Team,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,OwnSP(optional)
2021,2021-04-03,日本ハム,西川,杉谷,近藤,中田,渡邉,大田,樋口,清水,中島卓也,加藤
2021,2021-04-05,日本ハム,西川,近藤,渡邉,中田,野村,淺間,松本剛,清水,中島卓也,池田
2021,2021-04-06,日本ハム,西川,渡邉,近藤,中田,野村,淺間,大田,宇佐見,中島卓也,伊藤
2021,2021-04-07,日本ハム,西川,渡邉,野村,近藤,大田,淺間,樋口,清水,石井,河野
2021,2021-04-08,日本ハム,西川,渡邉,近藤,中田,野村,淺間,大田,宇佐見,中島卓也,金子
2021,2021-04-09,日本ハム,西川,渡邉,近藤,中田,野村,淺間,万波,清水,石井,上沢
2021,2021-04-10,日本ハム,西川,高濱,大田,中田,渡邉,樋口,万波,清水,石井,加藤
2021,2021-04-12,日本ハム,西川,渡邉,近藤,中田,淺間,大田,樋口,清水,上野,池田
2021,2021-04-13,日本ハム,西川,渡邉,近藤,中田,淺間,大田,樋口,清水,石井,伊藤
2021,2021-04-15,日本ハム,西川,高濱,近藤,中田,淺間,今川,郡,清水,石井,バーヘイゲン
2021,2021-04-16,日本ハム,西川,渡邉,近藤,中田,淺間,大田,石井,清水,中島卓也,上沢
2021,2021-04-17,日本ハム,郡,高濱,近藤,中田,大田,今川,万波,石川亮,上野,アーリン
2021,2021-04-19,日本ハム,郡,西川,近藤,中田,淺間,渡邉,大田,清水,石井,加藤
2021,2021-04-20,日本ハム,郡,西川,近藤,中田,淺間,渡邉,大田,清水,石井,伊藤
2021,2021-04-21,日本ハム,大田,高濱,西川,近藤,淺間,R.ロドリゲス,渡邉,石川亮,石井,池田
2021,2021-04-22,日本ハム,大田,高濱,西川,近藤,淺間,渡邉,R.ロドリゲス,石川亮,中島卓也,バーヘイゲン
2021,2021-04-23,日本ハム,郡,渡邉,西川,近藤,大田,淺間,中田,清水,石井,上沢
2021,2021-04-24,日本ハム,郡,渡邉,西川,近藤,中田,淺間,R.ロドリゲス,石川亮,石井,金子
2021,2021-04-26,日本ハム,郡,中田,西川,近藤,渡邉,大田,今川,清水,石井,加藤
2021,2021-04-27,日本ハム,郡,中田,西川,近藤,渡邉,淺間,大田,石川亮,石井,伊藤
2021,2021-04-28,日本ハム,郡,中田,西川,渡邉,淺間,大田,王,石川亮,石井,池田
2021,2021-04-29,日本ハム,大田,王,近藤,中田,渡邉,R.ロドリゲス,石井,今川,石川亮,バーヘイゲン
2021,2021-04-30,日本ハム,杉谷,平沼,中田,近藤,渡邉,大田,石井,万波,石川亮,上沢
2021,2021-05-06,日本ハム,杉谷,平沼,近藤,中田,王,大田,石井,万波,宇佐見,バーヘイゲン
2021,2021-05-07,日本ハム,五十幡,杉谷,近藤,中田,王,石井,万波,平沼,宇佐見,上沢
2021,2021-05-08,日本ハム,五十幡,杉谷,王,近藤,万波,石井,樋口,今井,宇佐見,池田
2021,2021-05-10,日本ハム,万波,杉谷,近藤,中田,王,大田,樋口,石井,宇佐見,金子
2021,2021-05-11,日本ハム,五十幡,杉谷,近藤,中田,王,大田,石井,樋口,宇佐見,加藤
2021,2021-05-13,日本ハム,五十幡,杉谷,近藤,中田,王,大田,石井,樋口,宇佐見,伊藤
2021,2021-05-14,日本ハム,淺間,杉谷,近藤,王,大田,中田,石井,樋口,宇佐見,バーヘイゲン
2021,2021-05-15,日本ハム,西川,渡邉,近藤,王,大田,石井,樋口,平沼,鶴岡,上沢
2021,2021-05-17,日本ハム,西川,渡邉,近藤,王,大田,石井,樋口,平沼,鶴岡,金子
2021,2021-05-18,日本ハム,西川,渡邉,近藤,王,淺間,大田,石井,平沼,清水,加藤
2021,2021-05-19,日本ハム,五十幡,西川,近藤,王,渡邉,淺間,石井,平沼,石川亮,池田
2021,2021-05-20,日本ハム,五十幡,郡,西川,王,渡邉,大田,石井,平沼,石川亮,伊藤
2021,2021-05-21,日本ハム,杉谷,平沼,西川,王,渡邉,淺間,大田,石井,清水,バーヘイゲン
2021,2021-05-22,日本ハム,五十幡,平沼,西川,王,渡邉,淺間,石井,鶴岡,杉谷,アーリン
2021,2021-05-24,日本ハム,五十幡,平沼,西川,王,渡邉,R.ロドリゲス,石井,清水,上沢,
2021,2021-05-25,日本ハム,五十幡,高濱,西川,渡邉,大田,R.ロドリゲス,石井,石川亮,加藤,
2021,2021-05-26,日本ハム,五十幡,平沼,西川,近藤,渡邉,R.ロドリゲス,石井,石川亮,池田,
2021,2021-05-27,日本ハム,淺間,高濱,西川,近藤,渡邉,大田,石井,石川亮,平沼,伊藤
2021,2021-05-28,日本ハム,五十幡,高濱,西川,近藤,渡邉,淺間,石井,平沼,清水,バーヘイゲン
2021,2021-05-29,日本ハム,五十幡,高濱,西川,近藤,王,渡邉,石井,鶴岡,平沼,アーリン
2021,2021-05-31,日本ハム,五十幡,高濱,西川,近藤,渡邉,石井,平沼,清水,上沢,
2021,2021-06-01,日本ハム,淺間,高濱,西川,近藤,渡邉,石井,平沼,清水,加藤,
2021,2021-06-03,日本ハム,大田,西川,近藤,中田,渡邉,野村,石井,石川亮,池田,
2021,2021-06-04,日本ハム,五十幡,平沼,近藤,中田,王,渡邉,石井,石川亮,立野,
2021,2021-06-05,日本ハム,五十幡,渡邉,近藤,中田,王,野村,石井,石川亮,伊藤,
2021,2021-06-07,日本ハム,五十幡,西川,近藤,中田,王,渡邉,野村,石井,清水,上沢
2021,2021-06-08,日本ハム,淺間,高濱,西川,近藤,王,渡邉,郡,石井,清水,加藤
2021,2021-06-09,日本ハム,淺間,西川,近藤,高濱,王,渡邉,野村,石井,清水,アーリン
2021,2021-06-10,日本ハム,淺間,万波,高濱,近藤,渡邉,野村,大田,谷内,清水,金子
2021,2021-06-11,日本ハム,淺間,西川,高濱,近藤,王,渡邉,平沼,石井,石川亮,池田
2021,2021-06-12,日本ハム,西川,高濱,近藤,王,渡邉,野村,万波,石川亮,谷内,バーヘイゲン
2021,2021-06-15,日本ハム,淺間,高濱,近藤,王,渡邉,野村,石井,石川亮,伊藤,
2021,2021-06-17,日本ハム,淺間,西川,高濱,近藤,王,渡邉,野村,石川亮,石井,上沢
2021,2021-06-18,日本ハム,淺間,西川,高濱,近藤,王,渡邉,石井,石川亮,平沼,立野
2021,2021-06-19,日本ハム,淺間,西川,高濱,近藤,渡邉,野村,万波,清水,石井,加藤
2021,2021-06-21,日本ハム,淺間,西川,高濱,近藤,王,渡邉,平沼,石井,清水,バーヘイゲン
2021,2021-06-22,日本ハム,淺間,西川,高濱,近藤,渡邉,野村,万波,石川亮,石井,池田
2021,2021-06-23,日本ハム,西川,高濱,近藤,王,渡邉,野村,万波,石川亮,石井,伊藤
2021,2021-06-25,日本ハム,西川,高濱,近藤,王,渡邉,野村,万波,石川亮,石井,上沢
2021,2021-06-26,日本ハム,西川,高濱,野村,近藤,渡邉,万波,R.ロドリゲス,清水,石井,加藤
